05/06/2022,2022,June,6,Q2,23,11/06/2022,6,Sunday,0
06/06/2022,2022,June,6,Q2,24,11/06/2022,0,Monday,0
07/06/2022,2022,June,6,Q2,24,11/06/2022,1,Tuesday,0
08/06/2022,2022,June,6,Q2,24,11/06/2022,2,Wednesday,0
09/06/2022,2022,June,6,Q2,24,11/06/2022,3,Thursday,0
10/06/2022,2022,June,6,Q2,24,11/06/2022,4,Friday,0
11/06/2022,2022,June,6,Q2,24,11/06/2022,5,Saturday,0
12/06/2022,2022,June,6,Q2,24,18/06/2022,6,Sunday,0
13/06/2022,2022,June,6,Q2,25,18/06/2022,0,Monday,0
14/06/2022,2022,June,6,Q2,25,18/06/2022,1,Tuesday,0
15/06/2022,2022,June,6,Q2,25,18/06/2022,2,Wednesday,0
16/06/2022,2022,June,6,Q2,25,18/06/2022,3,Thursday,0
17/06/2022,2022,June,6,Q2,25,18/06/2022,4,Friday,0
18/06/2022,2022,June,6,Q2,25,18/06/2022,5,Saturday,0
19/06/2022,2022,June,6,Q2,25,25/06/2022,6,Sunday,0
20/06/2022,2022,June,6,Q2,26,25/06/2022,0,Monday,0
21/06/2022,2022,June,6,Q2,26,25/06/2022,1,Tuesday,0
22/06/2022,2022,June,6,Q2,26,25/06/2022,2,Wednesday,0
23/06/2022,2022,June,6,Q2,26,25/06/2022,3,Thursday,0
24/06/2022,2022,June,6,Q2,26,25/06/2022,4,Friday,0
25/06/2022,2022,June,6,Q2,26,25/06/2022,5,Saturday,0
26/06/2022,2022,June,6,Q2,26,02/07/2022,6,Sunday,0
27/06/2022,2022,June,6,Q2,27,02/07/2022,0,Monday,0
28/06/2022,2022,June,6,Q2,27,02/07/2022,1,Tuesday,0
29/06/2022,2022,June,6,Q2,27,02/07/2022,2,Wednesday,0
30/06/2022,2022,June,6,Q2,27,02/07/2022,3,Thursday,0
01/07/2022,2022,July,7,Q3,27,02/07/2022,4,Friday,0
02/07/2022,2022,July,7,Q3,27,02/07/2022,5,Saturday,0
03/07/2022,2022,July,7,Q3,27,09/07/2022,6,Sunday,0
04/07/2022,2022,July,7,Q3,28,09/07/2022,0,Monday,0
05/07/2022,2022,July,7,Q3,28,09/07/2022,1,Tuesday,0
